tweet_text,tweet_date,tweet_id,tweet_fav_count,retweet_count,sentiment_compound
First Nations Activist: Canada’s Kinder Morgan Pipeline Will Cause Envir... https://t.co/uj7OUK9pCS via @YouTube,2018-05-31 23:11:00,1002326608911458304,0,0,0.4939
Did Canada buy an oil pipeline in fear of being sued by China? | Opinion | The Guardian. What?  Prepared to arrest Canadians to protect Chinese investment?  Say it isn't so..... #cdnpoli #bcpoli #abpoli #pipeline #onpoli #Economy #Canada #China  https://t.co/hucByfCzo7,2018-05-31 23:10:46,1002326550644023296,1,1,-0.3899
"I don't believe LIBERALS got played with corporate kingpin #Morneau at the helm. It was Cdns that got played imho ""How Kinder Morgan Played Trudeau Like a Harp"" #cdnpoli  https://t.co/xcFajDtkgv",2018-05-31 23:10:13,1002326409883222016,3,2,0.8979
Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/oKqQRMpJG2,2018-05-31 23:08:56,1002326088608034817,0,0,-0.4939
Des Autochtones veulent acheter une part du pipeline Trans Mountain https://t.co/ttLdBnmuJm Hey bien  la protection de leur environnement n'est plus important ast'heure?,2018-05-31 23:08:14,1002325914015985664,0,0,0.2023
“We know now how history will remember Justin Trudeau: not as a dreamy progressive  but as one more pathetic employee of the richest  most reckless industry in the planet’s history.” #AirPollution  https://t.co/mMKtP2i0jB,2018-05-31 23:08:11,1002325901315661831,0,0,-0.7077
"Canada is buying a tar sands pipeline from Kinder Morgan set to travel through to Washington state. This has no upside  the oil will all be sold to China from Canada but could create environmental problems in WA state
petition here:  https://t.co/u3TOFQtpek",2018-05-31 23:05:50,1002325307729166336,3,4,-0.3612
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/Mfnpp7pV9S,2018-05-31 23:03:16,1002324661991067648,0,0,0.0
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/Mfnpp7pV9S,2018-05-31 23:03:16,1002324661991067648,0,0,0.0
"@JustinTrudeau @kazweida Ok. Trumps An idiot.

Why the neck did you nationalise Kinder Morgan. You're making a deal with the devil. 

Renewables dude. Renewables.",2018-05-31 23:02:13,1002324398827700230,2,0,-0.5106
"""The federal and Alberta governments’ insistence that delays to Trans Mountain specifically are costing Canada $15 billion per year is bogus."" https://t.co/lXnTcHANtR",2018-05-31 23:00:43,1002324020291887104,0,0,0.0
"""In case anyone wondered  this is how the world ends: with the cutest  progressivest  boybandiest leader in the world going fully in the tank for the oil industry"". 

https://t.co/RpuhD49OEL",2018-05-31 22:59:34,1002323730981408768,0,0,0.5859
Indigenous chiefs  activists rally against Kinder Morgan pipeline in Montreal | CBC News https://t.co/W8uAmLfbZX,2018-05-31 22:57:35,1002323231104274433,0,0,0.4939
Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/fP83eLE0tI,2018-05-31 22:57:33,1002323223596265472,0,0,-0.4939
"the kinder morgan deal was just so justin can do a reference to the first season. hes gonna say ""just watch me"" and the audience is gonna go nuts",2018-05-31 22:56:50,1002323041718714368,0,0,0.2263
The bail out of Kinder Morgan's pipeline is a bad deal for Canadians. Over 800 businesses people are standing up for a clean  healthy and diverse economy https://t.co/dZBeLlCczt,2018-05-31 22:56:48,1002323036345790464,0,0,0.6249
@HarjitSajjan @JustinTrudeau I oppose the taxpayer bail out of Kinder Morgan's risky oil pipeline. #LetsMoveForward for a clean and diverse economy → https://t.co/EPsXCT75ZY #cdnpoli #stopkm,2018-05-31 22:56:40,1002323002992685056,0,0,0.6249
"@JustinTrudeau Wow you bought Kinder Morgan b/c it was a problem to you.
Maybe you could buy USA becuse Nafta has become a problem.   Why can't we have real leadership?    Maybe while you get your hair done we can have @AndrewScheer quickly step in &amp; solve the problems #canpoli",2018-05-31 22:56:04,1002322851054014465,0,0,0.1779
#Carbon lock-in -Kinder Morgan Pipeline is Never Going to be Built  Vow Activists | Latest News | Earth Island Journal | Earth Island Institute https://t.co/6uZWcpwKNv,2018-05-31 22:54:23,1002322425093206016,0,0,0.4939
@krassenstein @joyceboatright They could also refuse to purchase Kinder Morgan’s boondoggle pipeline project.,2018-05-31 22:52:32,1002321960334962690,3,0,0.25
Finally some evidence of those “paid protestors” only they were hired by Kinder Morgan. #StopKM https://t.co/59RQKuDQIK,2018-05-31 22:52:01,1002321832337276928,0,0,0.4939
Trudeau buys Kinder Morgan pipeline as First Nations water advisories increase (FedLIBERALS have nothing but absolute contempt for FNs and working Cdns) #cdnpoli  https://t.co/ydPQczM2Fn,2018-05-31 22:51:30,1002321699713384448,0,0,0.7819
Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/BTMUFzoiSA,2018-05-31 22:51:28,1002321694332252161,0,0,-0.4939
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/oZ4x8dk3Ee,2018-05-31 22:46:52,1002320536033218560,0,0,0.0
I just wanted to repeat my thanks to my brothers and sisters who welcomed me to Langley  B.C. to speak in favour of the Kinder Morgan Expansion. I may never meet you again  but I'll never forget your kindness and strong spirits.,2018-05-31 22:45:23,1002320163809648640,69,14,0.8372
Ocean Sciences Article of the Day - Opinion: Did Canada buy an oil pipeline in fear of being sued by China? (The Guardian)  https://t.co/4ECCYymm2V,2018-05-31 22:44:57,1002320052530663430,0,0,-0.4939
Terrible week for Canada. First Kinder Morgan pipeline scandal then US Steel and Aluminum tarriffs now a great comedienne Sandra Bee is being targeted by the cult of Dr Zaius.,2018-05-31 22:44:05,1002319833961320450,0,0,0.4404
UPDATE: Private investigators infiltrated Kinder Morgan pipeline protests in Burnaby https://t.co/H4tbzIsdli https://t.co/PyMTVmBwl5,2018-05-31 22:38:18,1002318378797658112,0,0,0.3182
Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/cZMllsOPe3,2018-05-31 22:38:01,1002318308387897345,0,0,-0.4939
"""By January of last year  Kinder Morgan had met every requirement of both the federal National Energy Board (NEB) process and B.C.’s five conditions.""
#BCPoli #ABPoli #ABLeg #CDNPoli 
https://t.co/jlwBfYTNBw",2018-05-31 22:37:42,1002318228461252608,2,3,0.6486
"""By January of last year  Kinder Morgan had met every requirement of both the federal National Energy Board (NEB) process and B.C.’s five conditions.""
#BCPoli #ABPoli #ABLeg #CDNPoli 
https://t.co/jlwBfYTNBw",2018-05-31 22:37:42,1002318228461252608,2,3,0.6486
"Alberta  and Canada  you're going from a satellite dominion of the US and its oil companies to a satellite dominion of China. Tar sands and pipelines are bad for Alberta  for Canada  and for the world. #TransMountainPipeline 
https://t.co/T9uFkTAdIp",2018-05-31 22:37:38,1002318212984270848,0,0,-0.5423
Kinder Morgan Woes - Trudeau: First Nations have no veto power; Tribal opponents declare war https://t.co/fnuoLSXK3I via @IndianCountry,2018-05-31 22:37:12,1002318100950405121,0,0,-0.7003
https://t.co/oBGhxTFwI5 Your good old sock friend! @campaignforleo . A pity his politics isn't as nice as his socks!🤢,2018-05-31 22:35:08,1002317583603904513,0,0,0.4857
Un grand pas en faveur de l'inclusion sociale au Canada mais bizarrement contradictoire avec la décision KM. Si on avait déjà ratifié la Déclaration  le processus Kinder Morgan aurait été tout autre. https://t.co/HL8qWNDwa4,2018-05-31 22:34:58,1002317538682982401,2,1,0.6908
the real reason behind Trudeau buying a pipeline  https://t.co/tP6E7ZvWSs https://t.co/tP6E7ZvWSs,2018-05-31 22:33:57,1002317283207843840,0,0,0.0
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/qylOfTAA8W,2018-05-31 22:33:53,1002317266330030081,0,0,0.0
Think Trump is bad? Nothing he has done or will do will have as big an impact on climate change as our supposedly progressive government’s myopia here in Canada. https://t.co/drPPXUN3na via @ricochet_en #stopkm #BCPoli #ABPoli #CdnPoli,2018-05-31 22:33:09,1002317082040520706,1,0,-0.5423
Why is @JustinTrudeau so desperate to build a #tarsands #pipeline that he paid Kinder Morgan $4.5 billion to buy it? It may be because Canada has a #NAFTA-style #ISDS clause in its #trade treaty with China that guarantees Chinese energy companies profits. https://t.co/aFYHVXTz8Q,2018-05-31 22:32:08,1002316827668746240,1,1,0.638
"#ClimateAction
#NoMorePipelines #ClimateChangeIsReal #WaterIsLife 

https://t.co/Yl2EiC640x",2018-05-31 22:31:53,1002316766138327040,0,0,0.0
Bwahahahahahaha......Stop Trudeau from paying off Kinder Morgan...good luck with that. Trudeau could care less what you think. https://t.co/h8SZqZs0cf,2018-05-31 22:30:42,1002316466195009537,6,0,0.8555
Here's some more math: $3.2 billion to provide clean drinking water for #FirstNations in #Canada. $4.5 billion upfront  plus $10-15 billion down the road to invest in the past. #Oil is not the future. Respect #IndigenousRights. Respect #humanrights. https://t.co/oEQPqSets1,2018-05-31 22:30:27,1002316403066785798,8,11,-0.3417
Building trans mountain kinder Morgan pipeline will build the future and create jobs,2018-05-31 22:29:54,1002316265036210177,0,0,0.6486
"""In one fell swoop  the Liberal government’s purchase of Kinder Morgan’s pipeline fails many groups  from Indigenous communities to the provinces themselves"" @Pam_Palmater https://t.co/qvvNNzTpRR",2018-05-31 22:28:55,1002316016620376065,0,0,0.1027
Trudeau commits to buy Kinder Morgan pipeline as First Nations water advisories increase | The Council of Canadians https://t.co/z0paHzhUMm via @CouncilofCDNS,2018-05-31 22:28:21,1002315873573638151,0,0,0.6808
